User ID,Vehicle Model,Charging Station Location,Vehicle Age (years),Charger Type,User Type
User_828,BMW i3,Los Angeles,3,Level 2,Long-Distance Traveler
User_829,Nissan Leaf,San Francisco,5,DC Fast Charger,Casual Driver
User_830,Tesla Model 3,San Francisco,4.789456705,Level 1,Long-Distance Traveler
User_831,BMW i3,Chicago,1,DC Fast Charger,Casual Driver
User_832,Chevy Bolt,Los Angeles,1,Level 1,Casual Driver
User_833,Nissan Leaf,San Francisco,0,DC Fast Charger,Casual Driver
User_834,Tesla Model 3,Houston,6,DC Fast Charger,Long-Distance Traveler
User_835,Hyundai Kona,San Francisco,1,DC Fast Charger,Long-Distance Traveler
User_836,BMW i3,Houston,6,DC Fast Charger,Long-Distance Traveler
User_837,Nissan Leaf,Los Angeles,5,Level 1,Casual Driver
User_838,Nissan Leaf,Los Angeles,7,Level 2,Commuter
User_839,Chevy Bolt,Los Angeles,1,Level 1,Long-Distance Traveler
User_840,Chevy Bolt,San Francisco,4,Level 2,Commuter
User_841,Hyundai Kona,New York,7,Level 1,Long-Distance Traveler
User_842,Hyundai Kona,San Francisco,2,Level 1,Long-Distance Traveler
User_843,Tesla Model 3,San Francisco,6,Level 1,Commuter
User_844,Tesla Model 3,Chicago,6.808033448,Level 1,Commuter
User_845,Hyundai Kona,Chicago,1,DC Fast Charger,Casual Driver
User_846,Hyundai Kona,San Francisco,4.062688149,Level 1,Commuter
User_847,BMW i3,Houston,1,Level 1,Long-Distance Traveler
User_848,Chevy Bolt,Chicago,7,Level 2,Commuter
User_849,Tesla Model 3,San Francisco,2,DC Fast Charger,Commuter
User_850,Chevy Bolt,New York,2,DC Fast Charger,Commuter
User_851,Chevy Bolt,Houston,0,Level 1,Commuter
User_852,Hyundai Kona,Los Angeles,0,Level 1,Casual Driver
User_853,BMW i3,San Francisco,1,DC Fast Charger,Long-Distance Traveler
User_854,Nissan Leaf,San Francisco,3,DC Fast Charger,Long-Distance Traveler
User_855,BMW i3,Houston,5,Level 1,Long-Distance Traveler
User_856,BMW i3,Chicago,1,Level 1,Casual Driver
User_857,Chevy Bolt,Chicago,2,Level 1,Commuter
User_858,BMW i3,Chicago,7,Level 2,Long-Distance Traveler
User_859,Tesla Model 3,Los Angeles,3,DC Fast Charger,Long-Distance Traveler
User_860,Chevy Bolt,Houston,2,Level 2,Commuter
User_861,Tesla Model 3,Houston,6,DC Fast Charger,Long-Distance Traveler
User_862,Nissan Leaf,Chicago,7,DC Fast Charger,Commuter
User_863,Chevy Bolt,Chicago,0,DC Fast Charger,Casual Driver
User_864,Nissan Leaf,New York,1,DC Fast Charger,Long-Distance Traveler
User_865,Chevy Bolt,New York,3,DC Fast Charger,Long-Distance Traveler
User_866,Hyundai Kona,San Francisco,0,Level 1,Commuter
User_867,BMW i3,San Francisco,4,Level 2,Casual Driver
User_868,Hyundai Kona,Houston,6,Level 2,Long-Distance Traveler
User_869,Nissan Leaf,Houston,0,DC Fast Charger,Commuter
User_870,BMW i3,Los Angeles,5,Level 2,Casual Driver
User_871,Chevy Bolt,Los Angeles,0,Level 2,Commuter
User_872,BMW i3,New York,2,Level 1,Long-Distance Traveler
User_873,Tesla Model 3,San Francisco,5,DC Fast Charger,Long-Distance Traveler
User_874,BMW i3,New York,3,Level 1,Long-Distance Traveler
User_875,Tesla Model 3,New York,3,Level 2,Commuter
User_876,BMW i3,San Francisco,1,DC Fast Charger,Casual Driver
User_877,Tesla Model 3,Los Angeles,0,DC Fast Charger,Long-Distance Traveler
User_878,Nissan Leaf,San Francisco,7,DC Fast Charger,Long-Distance Traveler
User_879,Hyundai Kona,Chicago,3,DC Fast Charger,Commuter
User_880,Chevy Bolt,Chicago,0,DC Fast Charger,Long-Distance Traveler
User_881,BMW i3,Chicago,1,DC Fast Charger,Commuter
User_882,Hyundai Kona,Houston,4,Level 1,Long-Distance Traveler
User_883,Chevy Bolt,Los Angeles,4,Level 1,Casual Driver
User_884,Chevy Bolt,Los Angeles,0,Level 2,Long-Distance Traveler
User_885,Tesla Model 3,Houston,2,DC Fast Charger,Commuter
User_886,Nissan Leaf,New York,1,DC Fast Charger,Long-Distance Traveler
User_887,Nissan Leaf,Chicago,7,Level 1,Commuter
User_888,Hyundai Kona,Chicago,1,Level 2,Commuter
User_889,Nissan Leaf,New York,3,Level 2,Commuter
User_890,BMW i3,San Francisco,3,DC Fast Charger,Casual Driver
User_891,Nissan Leaf,San Francisco,3,Level 2,Casual Driver
User_892,Hyundai Kona,Los Angeles,7,Level 2,Long-Distance Traveler
User_893,Nissan Leaf,Houston,5,DC Fast Charger,Commuter
User_894,BMW i3,Los Angeles,6,DC Fast Charger,Casual Driver
User_895,Tesla Model 3,San Francisco,1,DC Fast Charger,Commuter
User_896,Hyundai Kona,New York,6,Level 1,Long-Distance Traveler
User_897,Tesla Model 3,Los Angeles,6,DC Fast Charger,Commuter
User_898,Tesla Model 3,Chicago,0,Level 2,Casual Driver
User_899,Tesla Model 3,Chicago,2,Level 1,Casual Driver
User_900,Chevy Bolt,New York,4,Level 2,Commuter
User_901,Chevy Bolt,San Francisco,2,Level 1,Commuter
User_902,Tesla Model 3,Chicago,4,DC Fast Charger,Commuter
User_903,Hyundai Kona,Chicago,2,Level 2,Commuter
User_904,BMW i3,Houston,1,Level 1,Commuter
User_905,BMW i3,Los Angeles,4,Level 2,Commuter
User_906,Nissan Leaf,San Francisco,0,DC Fast Charger,Long-Distance Traveler
User_907,Hyundai Kona,Los Angeles,2,Level 1,Long-Distance Traveler
User_908,Chevy Bolt,San Francisco,6,Level 2,Casual Driver
User_909,Tesla Model 3,Chicago,2,Level 1,Commuter
User_910,Nissan Leaf,Houston,4,DC Fast Charger,Long-Distance Traveler
User_911,BMW i3,Los Angeles,6,Level 1,Commuter
User_912,Chevy Bolt,Chicago,6,Level 1,Casual Driver
User_913,Chevy Bolt,San Francisco,3,Level 2,Long-Distance Traveler
User_914,Tesla Model 3,Los Angeles,7,Level 1,Commuter
User_915,BMW i3,Los Angeles,5,DC Fast Charger,Commuter
User_916,Hyundai Kona,Chicago,4,Level 2,Commuter
User_917,Chevy Bolt,Los Angeles,0.355652787,Level 1,Commuter
User_918,Tesla Model 3,Houston,1,DC Fast Charger,Commuter
User_919,Hyundai Kona,Houston,1,DC Fast Charger,Commuter
User_920,BMW i3,Chicago,3,Level 1,Casual Driver
User_921,Chevy Bolt,San Francisco,0,Level 1,Commuter
User_922,Hyundai Kona,Chicago,2.797165053,Level 2,Commuter
User_923,Hyundai Kona,Houston,7,DC Fast Charger,Long-Distance Traveler
User_924,Hyundai Kona,New York,7,DC Fast Charger,Commuter
User_925,Chevy Bolt,New York,7,DC Fast Charger,Commuter
User_926,Chevy Bolt,Los Angeles,6,Level 1,Long-Distance Traveler
User_927,Nissan Leaf,Los Angeles,5.749537058,Level 1,Long-Distance Traveler
User_928,BMW i3,New York,4,Level 1,Commuter
User_929,Tesla Model 3,Houston,5.404853321,Level 2,Casual Driver
User_930,Hyundai Kona,Los Angeles,2,DC Fast Charger,Long-Distance Traveler
User_931,Nissan Leaf,Chicago,5,DC Fast Charger,Long-Distance Traveler
User_932,Tesla Model 3,Chicago,0,Level 1,Commuter
User_933,Nissan Leaf,Houston,6,Level 2,Long-Distance Traveler
User_934,Chevy Bolt,Los Angeles,1,Level 2,Commuter
User_935,Hyundai Kona,Chicago,3,Level 2,Casual Driver
User_936,Tesla Model 3,Los Angeles,6,Level 2,Casual Driver
User_937,Tesla Model 3,Los Angeles,7,Level 2,Commuter
User_938,Tesla Model 3,Chicago,7,Level 1,Casual Driver
User_939,Tesla Model 3,New York,0,Level 1,Commuter
User_940,Tesla Model 3,Chicago,2.061484459,Level 1,Long-Distance Traveler
User_941,Nissan Leaf,Houston,6,DC Fast Charger,Long-Distance Traveler
User_942,Hyundai Kona,San Francisco,6,Level 2,Commuter
User_943,Chevy Bolt,Chicago,7,Level 2,Commuter
User_944,Chevy Bolt,Los Angeles,1,DC Fast Charger,Long-Distance Traveler
User_945,Chevy Bolt,Los Angeles,4,Level 2,Commuter
User_946,Chevy Bolt,Chicago,6,Level 2,Long-Distance Traveler
User_947,Nissan Leaf,San Francisco,5,Level 2,Commuter
User_948,BMW i3,Chicago,0,Level 2,Long-Distance Traveler
User_949,Hyundai Kona,San Francisco,4.794491817,Level 2,Casual Driver
User_950,Tesla Model 3,San Francisco,7,Level 1,Casual Driver
User_951,BMW i3,Houston,6,Level 2,Long-Distance Traveler
User_952,Chevy Bolt,Los Angeles,0,Level 1,Long-Distance Traveler
User_953,BMW i3,Los Angeles,4,Level 1,Long-Distance Traveler
User_954,Hyundai Kona,San Francisco,2.64765512,Level 1,Long-Distance Traveler
User_955,Tesla Model 3,Los Angeles,2,Level 1,Long-Distance Traveler
User_956,Tesla Model 3,New York,7,DC Fast Charger,Casual Driver
User_957,Hyundai Kona,San Francisco,5,Level 1,Long-Distance Traveler
User_958,Hyundai Kona,Los Angeles,3.22081808,DC Fast Charger,Commuter
User_959,Chevy Bolt,New York,6.377300139,DC Fast Charger,Casual Driver
User_960,Tesla Model 3,Houston,4,Level 1,Long-Distance Traveler
User_961,BMW i3,Los Angeles,3,Level 2,Commuter
User_962,Nissan Leaf,New York,4,Level 2,Casual Driver
User_963,Nissan Leaf,Chicago,2,Level 1,Commuter
User_964,Hyundai Kona,Chicago,5,Level 1,Long-Distance Traveler
User_965,Chevy Bolt,New York,6,DC Fast Charger,Commuter
User_966,Nissan Leaf,San Francisco,4,DC Fast Charger,Commuter
User_967,Tesla Model 3,San Francisco,3,Level 2,Casual Driver
User_968,Hyundai Kona,Los Angeles,5,DC Fast Charger,Commuter
User_969,BMW i3,Chicago,7,DC Fast Charger,Commuter
User_970,Hyundai Kona,San Francisco,0,Level 1,Casual Driver
User_971,BMW i3,San Francisco,5,DC Fast Charger,Long-Distance Traveler
User_972,Hyundai Kona,Chicago,3,DC Fast Charger,Commuter
User_973,Hyundai Kona,Houston,0,DC Fast Charger,Long-Distance Traveler
User_974,Hyundai Kona,San Francisco,6,Level 2,Casual Driver
User_975,BMW i3,New York,6,Level 1,Long-Distance Traveler
User_976,BMW i3,Los Angeles,4,Level 2,Commuter
User_977,Hyundai Kona,San Francisco,4.186588285,Level 1,Commuter
User_978,Nissan Leaf,San Francisco,4,Level 1,Long-Distance Traveler
User_979,Chevy Bolt,Houston,2,DC Fast Charger,Long-Distance Traveler
User_980,Chevy Bolt,New York,2,Level 2,Commuter
User_981,Chevy Bolt,Los Angeles,7,Level 2,Casual Driver
User_982,BMW i3,San Francisco,6,DC Fast Charger,Commuter
User_983,BMW i3,Los Angeles,7,Level 2,Commuter
User_984,Nissan Leaf,Chicago,2,Level 1,Long-Distance Traveler
User_985,Chevy Bolt,San Francisco,2,Level 1,Commuter
User_986,Chevy Bolt,San Francisco,6,Level 1,Long-Distance Traveler
User_987,Hyundai Kona,Chicago,0,DC Fast Charger,Casual Driver
User_988,BMW i3,Houston,7,Level 2,Commuter
User_989,Chevy Bolt,San Francisco,10.63457441,Level 1,Casual Driver
User_990,Nissan Leaf,Los Angeles,3,DC Fast Charger,Casual Driver
User_991,Nissan Leaf,New York,3,Level 1,Commuter
User_992,Chevy Bolt,Los Angeles,7,Level 1,Long-Distance Traveler
User_993,BMW i3,Houston,2,Level 2,Long-Distance Traveler
User_994,Nissan Leaf,New York,4,DC Fast Charger,Commuter
User_995,Hyundai Kona,Los Angeles,5,Level 1,Long-Distance Traveler
User_996,Nissan Leaf,Los Angeles,5,Level 1,Long-Distance Traveler
User_997,Tesla Model 3,Chicago,5,DC Fast Charger,Casual Driver
User_998,Tesla Model 3,Houston,5,DC Fast Charger,Long-Distance Traveler
User_999,BMW i3,Chicago,1,Level 2,Long-Distance Traveler
User_1000,Chevy Bolt,New York,7,Level 1,Commuter
User_1001,BMW i3,Chicago,7,Level 2,Casual Driver
User_1002,BMW i3,Houston,7,Level 1,Long-Distance Traveler
User_1003,BMW i3,San Francisco,1.038973299,Level 2,Commuter
User_1004,BMW i3,San Francisco,5,Level 1,Long-Distance Traveler
User_1005,Hyundai Kona,New York,0,DC Fast Charger,Casual Driver
User_1006,Hyundai Kona,San Francisco,3.304408096,Level 2,Casual Driver
User_1007,Nissan Leaf,Chicago,2,DC Fast Charger,Casual Driver
User_1008,Tesla Model 3,New York,1.058056667,Level 1,Casual Driver
User_1009,BMW i3,Houston,5,DC Fast Charger,Casual Driver
User_1010,Nissan Leaf,New York,4,Level 2,Casual Driver
User_1011,Tesla Model 3,New York,7,Level 2,Commuter
User_1012,Chevy Bolt,Los Angeles,3,DC Fast Charger,Casual Driver
User_1013,Hyundai Kona,Los Angeles,2,Level 1,Long-Distance Traveler
User_1014,Tesla Model 3,New York,4,Level 2,Long-Distance Traveler
User_1015,Chevy Bolt,San Francisco,6,Level 1,Long-Distance Traveler
User_1016,Tesla Model 3,Los Angeles,2,Level 2,Long-Distance Traveler
User_1017,Hyundai Kona,Houston,7,Level 1,Casual Driver
User_1018,Hyundai Kona,Chicago,0.814314492,Level 1,Casual Driver
User_1019,Nissan Leaf,Los Angeles,5,DC Fast Charger,Commuter
User_1020,BMW i3,New York,6,Level 1,Casual Driver
User_1021,Tesla Model 3,San Francisco,1,Level 2,Long-Distance Traveler
User_1022,Tesla Model 3,Chicago,0,DC Fast Charger,Commuter
User_1023,Chevy Bolt,Los Angeles,7,Level 2,Commuter
User_1024,Hyundai Kona,San Francisco,3,DC Fast Charger,Commuter
User_1025,Tesla Model 3,San Francisco,1,DC Fast Charger,Commuter
User_1026,Hyundai Kona,San Francisco,0,Level 1,Casual Driver
User_1027,Tesla Model 3,New York,0,Level 1,Commuter
User_1028,Nissan Leaf,Houston,5,Level 2,Casual Driver
User_1029,BMW i3,San Francisco,2,Level 2,Commuter
User_1030,Tesla Model 3,Chicago,5,Level 1,Casual Driver
User_1031,Hyundai Kona,Los Angeles,1,Level 2,Casual Driver
User_1032,Nissan Leaf,Chicago,7,Level 2,Long-Distance Traveler
User_1033,Tesla Model 3,New York,2,Level 1,Casual Driver
User_1034,Chevy Bolt,New York,1,DC Fast Charger,Commuter
User_1035,BMW i3,Chicago,0,Level 1,Commuter
User_1036,Tesla Model 3,Houston,1.719888608,Level 2,Casual Driver
User_1037,Nissan Leaf,New York,1,DC Fast Charger,Casual Driver
User_1038,Chevy Bolt,New York,3,Level 1,Casual Driver
User_1039,Nissan Leaf,Chicago,5,DC Fast Charger,Casual Driver
User_1040,Nissan Leaf,New York,2,Level 2,Long-Distance Traveler
User_1041,Chevy Bolt,Houston,7,DC Fast Charger,Long-Distance Traveler
User_1042,Nissan Leaf,Houston,6,Level 2,Long-Distance Traveler
User_1043,Chevy Bolt,Houston,2,Level 1,Long-Distance Traveler
User_1044,Tesla Model 3,Los Angeles,4,DC Fast Charger,Long-Distance Traveler
User_1045,Chevy Bolt,Houston,1,DC Fast Charger,Casual Driver
User_1046,Chevy Bolt,Houston,6,DC Fast Charger,Long-Distance Traveler
User_1047,BMW i3,Los Angeles,2,Level 2,Long-Distance Traveler
User_1048,Chevy Bolt,San Francisco,3,Level 1,Casual Driver
User_1049,Chevy Bolt,New York,2,Level 1,Casual Driver
User_1050,Tesla Model 3,Houston,3,Level 2,Commuter
User_1051,BMW i3,New York,3,DC Fast Charger,Commuter
User_1052,Hyundai Kona,Chicago,5,Level 2,Commuter
User_1053,Tesla Model 3,New York,5,Level 2,Long-Distance Traveler
User_1054,Tesla Model 3,Los Angeles,5,Level 1,Casual Driver
User_1055,Hyundai Kona,New York,4,Level 2,Commuter
User_1056,Chevy Bolt,New York,0,DC Fast Charger,Commuter
User_1057,Nissan Leaf,New York,4,Level 2,Long-Distance Traveler
User_1058,BMW i3,San Francisco,4,Level 2,Commuter
User_1059,Nissan Leaf,San Francisco,0,Level 2,Casual Driver
User_1060,Hyundai Kona,Chicago,2,DC Fast Charger,Casual Driver
User_1061,Tesla Model 3,Los Angeles,4,Level 2,Commuter
User_1062,Tesla Model 3,New York,7,Level 1,Casual Driver
User_1063,BMW i3,New York,4.023079649,Level 2,Commuter
User_1064,Tesla Model 3,New York,7,Level 2,Commuter
User_1065,Tesla Model 3,New York,6,Level 1,Casual Driver
User_1066,BMW i3,San Francisco,5,Level 1,Casual Driver
User_1067,BMW i3,Chicago,6,Level 1,Long-Distance Traveler
User_1068,Hyundai Kona,Houston,3,Level 1,Long-Distance Traveler
User_1069,Tesla Model 3,Los Angeles,1,Level 1,Commuter
User_1070,Tesla Model 3,New York,2,Level 1,Casual Driver
User_1071,Hyundai Kona,Chicago,5,DC Fast Charger,Commuter
User_1072,Chevy Bolt,Houston,3,Level 2,Long-Distance Traveler
User_1073,Chevy Bolt,Chicago,1,DC Fast Charger,Commuter
User_1074,Chevy Bolt,San Francisco,5,DC Fast Charger,Casual Driver
User_1075,Hyundai Kona,Houston,1,Level 1,Casual Driver
User_1076,Tesla Model 3,Chicago,3,Level 2,Long-Distance Traveler
User_1077,Hyundai Kona,San Francisco,7,DC Fast Charger,Commuter
User_1078,Hyundai Kona,Chicago,5,Level 2,Commuter
User_1079,Chevy Bolt,Chicago,2,Level 2,Casual Driver
User_1080,Nissan Leaf,Houston,7,Level 1,Long-Distance Traveler
User_1081,Tesla Model 3,San Francisco,1,Level 2,Casual Driver
User_1082,Chevy Bolt,New York,2.931420755,DC Fast Charger,Casual Driver
User_1083,Nissan Leaf,Los Angeles,7,DC Fast Charger,Long-Distance Traveler
User_1084,Nissan Leaf,Houston,2,Level 1,Casual Driver
User_1085,BMW i3,San Francisco,6,DC Fast Charger,Commuter
User_1086,Tesla Model 3,Chicago,1,Level 1,Commuter
User_1087,Nissan Leaf,San Francisco,6,DC Fast Charger,Commuter
User_1088,Chevy Bolt,Los Angeles,2,DC Fast Charger,Casual Driver
User_1089,BMW i3,Los Angeles,3,Level 1,Long-Distance Traveler
User_1090,Tesla Model 3,New York,3,Level 2,Long-Distance Traveler
User_1091,Hyundai Kona,New York,1,Level 1,Long-Distance Traveler
User_1092,Chevy Bolt,Los Angeles,4,Level 2,Long-Distance Traveler
User_1093,Nissan Leaf,Houston,2,Level 2,Long-Distance Traveler
User_1094,Nissan Leaf,Houston,6.454001345,Level 1,Casual Driver
User_1095,Chevy Bolt,Chicago,5,Level 1,Long-Distance Traveler
User_1096,Nissan Leaf,New York,5,Level 1,Commuter
User_1097,BMW i3,Chicago,5,Level 2,Casual Driver
User_1098,Tesla Model 3,New York,5,Level 2,Commuter
User_1099,BMW i3,Los Angeles,1,Level 2,Long-Distance Traveler
User_1100,Nissan Leaf,Houston,5,Level 2,Long-Distance Traveler
User_1101,Hyundai Kona,Houston,1,Level 1,Commuter
User_1102,Tesla Model 3,Los Angeles,2,Level 1,Commuter
User_1103,Tesla Model 3,Chicago,0,Level 2,Casual Driver
User_1104,Chevy Bolt,Chicago,1,DC Fast Charger,Long-Distance Traveler
User_1105,Chevy Bolt,San Francisco,5,Level 1,Long-Distance Traveler
User_1106,Hyundai Kona,New York,6.664510336,DC Fast Charger,Long-Distance Traveler
User_1107,Tesla Model 3,Chicago,4,DC Fast Charger,Commuter
User_1108,Hyundai Kona,Los Angeles,5,DC Fast Charger,Long-Distance Traveler
User_1109,Chevy Bolt,Chicago,7,Level 2,Casual Driver
User_1110,Chevy Bolt,Houston,7,Level 1,Casual Driver
User_1111,Tesla Model 3,New York,7,DC Fast Charger,Commuter
User_1112,BMW i3,San Francisco,3,Level 2,Commuter
User_1113,Nissan Leaf,New York,5,Level 1,Casual Driver
User_1114,Chevy Bolt,Houston,6,Level 2,Commuter
User_1115,Chevy Bolt,Houston,7,Level 1,Commuter
User_1116,BMW i3,Houston,7,Level 1,Long-Distance Traveler
User_1117,BMW i3,Houston,5,Level 2,Casual Driver
User_1118,Hyundai Kona,Los Angeles,5,DC Fast Charger,Long-Distance Traveler
User_1119,Hyundai Kona,San Francisco,4,Level 1,Casual Driver
User_1120,Nissan Leaf,Houston,1,Level 1,Long-Distance Traveler
User_1121,Nissan Leaf,Houston,3,DC Fast Charger,Casual Driver
User_1122,Tesla Model 3,Chicago,6,Level 1,Casual Driver
User_1123,Hyundai Kona,San Francisco,5,DC Fast Charger,Casual Driver
User_1124,Chevy Bolt,New York,7,Level 1,Commuter
User_1125,Hyundai Kona,San Francisco,3,DC Fast Charger,Long-Distance Traveler
User_1126,Chevy Bolt,San Francisco,2,Level 1,Commuter
User_1127,BMW i3,San Francisco,7,Level 1,Commuter
User_1128,Hyundai Kona,Houston,5,Level 1,Casual Driver
User_1129,BMW i3,Houston,2,DC Fast Charger,Casual Driver
User_1130,Nissan Leaf,Los Angeles,3,Level 1,Commuter
User_1131,Nissan Leaf,New York,6,Level 2,Commuter
User_1132,Tesla Model 3,Chicago,4.435152229,Level 2,Commuter
User_1133,Hyundai Kona,San Francisco,6,Level 2,Casual Driver
User_1134,BMW i3,New York,0,Level 1,Casual Driver
User_1135,Chevy Bolt,New York,7,DC Fast Charger,Casual Driver
User_1136,Nissan Leaf,Los Angeles,2,DC Fast Charger,Long-Distance Traveler
User_1137,Nissan Leaf,Chicago,6,Level 1,Commuter
User_1138,Chevy Bolt,San Francisco,0,Level 2,Commuter
User_1139,BMW i3,Chicago,4,DC Fast Charger,Long-Distance Traveler
User_1140,BMW i3,Los Angeles,6,Level 1,Commuter
User_1141,Hyundai Kona,Houston,7,DC Fast Charger,Commuter
User_1142,Hyundai Kona,New York,0,Level 2,Commuter
User_1143,Tesla Model 3,San Francisco,4,Level 2,Long-Distance Traveler
User_1144,Nissan Leaf,Houston,1,DC Fast Charger,Long-Distance Traveler
User_1145,Hyundai Kona,Los Angeles,6,Level 1,Commuter
User_1146,BMW i3,Chicago,3,Level 1,Casual Driver
User_1147,Chevy Bolt,New York,5,DC Fast Charger,Commuter
User_1148,BMW i3,San Francisco,0,Level 2,Commuter
User_1149,Nissan Leaf,Houston,1,Level 1,Casual Driver
User_1150,BMW i3,Houston,2,DC Fast Charger,Commuter
User_1151,Tesla Model 3,New York,0,DC Fast Charger,Commuter
User_1152,Nissan Leaf,Chicago,2,Level 2,Long-Distance Traveler
User_1153,Chevy Bolt,Los Angeles,5,Level 2,Commuter
User_1154,Tesla Model 3,Chicago,6,Level 1,Casual Driver
User_1155,Nissan Leaf,Chicago,4,Level 1,Long-Distance Traveler
User_1156,Chevy Bolt,Chicago,5,Level 1,Long-Distance Traveler
User_1157,Tesla Model 3,New York,2,Level 2,Casual Driver
User_1158,Tesla Model 3,New York,6,DC Fast Charger,Casual Driver
User_1159,Nissan Leaf,Los Angeles,0,Level 1,Long-Distance Traveler
User_1160,Hyundai Kona,Chicago,1.41310713,Level 1,Commuter
User_1161,Tesla Model 3,New York,4.387500969,Level 1,Commuter
User_1162,Tesla Model 3,Los Angeles,6,DC Fast Charger,Long-Distance Traveler
User_1163,Chevy Bolt,Los Angeles,1,Level 1,Commuter
User_1164,BMW i3,Chicago,5,Level 1,Long-Distance Traveler
User_1165,Nissan Leaf,San Francisco,1,Level 2,Casual Driver
User_1166,Nissan Leaf,Chicago,6,Level 2,Commuter
User_1167,Hyundai Kona,San Francisco,4,Level 2,Commuter
User_1168,Hyundai Kona,Los Angeles,6,DC Fast Charger,Long-Distance Traveler
User_1169,Nissan Leaf,New York,5,Level 2,Long-Distance Traveler
User_1170,Hyundai Kona,Houston,4,Level 1,Commuter
User_1171,Chevy Bolt,Los Angeles,1,Level 1,Commuter
User_1172,Nissan Leaf,New York,5,DC Fast Charger,Commuter
User_1173,Hyundai Kona,Los Angeles,3,DC Fast Charger,Casual Driver
User_1174,Nissan Leaf,Chicago,1,Level 1,Commuter
User_1175,BMW i3,San Francisco,0,DC Fast Charger,Commuter
User_1176,Tesla Model 3,Los Angeles,1,Level 1,Long-Distance Traveler
User_1177,Nissan Leaf,New York,0,Level 2,Casual Driver
User_1178,Tesla Model 3,Chicago,4,Level 1,Long-Distance Traveler
User_1179,Hyundai Kona,Houston,3,DC Fast Charger,Commuter
User_1180,Tesla Model 3,Chicago,6,Level 2,Casual Driver
User_1181,Nissan Leaf,San Francisco,6,Level 1,Commuter
User_1182,BMW i3,Chicago,3,DC Fast Charger,Casual Driver
User_1183,Hyundai Kona,Houston,7,DC Fast Charger,Casual Driver
User_1184,Nissan Leaf,New York,3,Level 2,Casual Driver
User_1185,Hyundai Kona,Los Angeles,2,Level 1,Casual Driver
User_1186,Chevy Bolt,San Francisco,0,Level 1,Casual Driver
User_1187,Tesla Model 3,Houston,6,DC Fast Charger,Casual Driver
User_1188,Chevy Bolt,San Francisco,4.592278256,Level 2,Long-Distance Traveler
User_1189,Nissan Leaf,Chicago,2.077846517,Level 1,Long-Distance Traveler
User_1190,BMW i3,San Francisco,1,Level 2,Commuter
User_1191,Hyundai Kona,Houston,1,DC Fast Charger,Casual Driver
User_1192,Tesla Model 3,Los Angeles,7,Level 1,Casual Driver
User_1193,Hyundai Kona,Los Angeles,4,DC Fast Charger,Long-Distance Traveler
User_1194,Nissan Leaf,San Francisco,0,Level 1,Commuter
User_1195,Hyundai Kona,New York,5.352188076,DC Fast Charger,Commuter
User_1196,Tesla Model 3,San Francisco,2.396060329,Level 1,Long-Distance Traveler
User_1197,Nissan Leaf,Chicago,6,Level 2,Long-Distance Traveler
User_1198,Hyundai Kona,Los Angeles,3,Level 1,Casual Driver
User_1199,BMW i3,Los Angeles,3,Level 1,Long-Distance Traveler
User_1200,Nissan Leaf,Los Angeles,3,DC Fast Charger,Casual Driver
User_1201,Nissan Leaf,New York,4,Level 1,Commuter
User_1202,BMW i3,New York,7,Level 1,Casual Driver
User_1203,Chevy Bolt,Houston,3,Level 1,Long-Distance Traveler
User_1204,Tesla Model 3,San Francisco,2,DC Fast Charger,Casual Driver
User_1205,Chevy Bolt,San Francisco,3,Level 1,Casual Driver
User_1206,Hyundai Kona,Chicago,4,Level 2,Long-Distance Traveler
User_1207,BMW i3,Los Angeles,0,Level 2,Casual Driver
User_1208,Chevy Bolt,New York,2,DC Fast Charger,Commuter
User_1209,Nissan Leaf,Chicago,4,Level 1,Casual Driver
User_1210,Hyundai Kona,Chicago,5,DC Fast Charger,Long-Distance Traveler
User_1211,Hyundai Kona,New York,1,Level 1,Long-Distance Traveler
User_1212,Chevy Bolt,San Francisco,5,DC Fast Charger,Long-Distance Traveler
User_1213,Chevy Bolt,Los Angeles,1,Level 1,Casual Driver
User_1214,BMW i3,San Francisco,2,Level 1,Commuter
User_1215,Tesla Model 3,Chicago,4,DC Fast Charger,Long-Distance Traveler
User_1216,Chevy Bolt,Los Angeles,6,DC Fast Charger,Long-Distance Traveler
User_1217,Chevy Bolt,Houston,2,DC Fast Charger,Commuter
User_1218,Nissan Leaf,Chicago,7,Level 1,Long-Distance Traveler
User_1219,Hyundai Kona,San Francisco,7,DC Fast Charger,Casual Driver
User_1220,Tesla Model 3,San Francisco,5,Level 1,Long-Distance Traveler
User_1221,Nissan Leaf,San Francisco,0,Level 2,Long-Distance Traveler
User_1222,BMW i3,New York,0,Level 2,Casual Driver
User_1223,BMW i3,Chicago,3,Level 1,Commuter
User_1224,Chevy Bolt,Los Angeles,0,Level 1,Commuter
User_1225,Chevy Bolt,San Francisco,4,DC Fast Charger,Long-Distance Traveler
User_1226,BMW i3,San Francisco,5,Level 1,Casual Driver
User_1227,Chevy Bolt,New York,3,Level 1,Casual Driver
User_1228,Tesla Model 3,Los Angeles,3,Level 2,Commuter
User_1229,Chevy Bolt,Chicago,5,DC Fast Charger,Commuter
User_1230,Hyundai Kona,Houston,6,DC Fast Charger,Commuter
User_1231,Chevy Bolt,New York,7,Level 1,Casual Driver
User_1232,Nissan Leaf,Chicago,1,DC Fast Charger,Casual Driver
User_1233,Tesla Model 3,Houston,0,Level 2,Casual Driver
